cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;dez/19;316.700.929
C%;C - Conglomerado;dez/19;70,88%
I;I - Instituição independente;dez/19;130.128.469
I%;I - Instituição independente;dez/19;29,12%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;349.684.483
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;78,26%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;11.589.622
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;2,59%
b3S;b3S - Cooperativa de Crédito Singulares;dez/19;10.850.689
b3S%;b3S - Cooperativa de Crédito Singulares;dez/19;2,43%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/19;432
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/19;0,00%
b4;b4 - Banco de Desenvolvimento;dez/19;114.539
b4%;b4 - Banco de Desenvolvimento;dez/19;0,03%
n1;n1 - Não Bancário de Crédito;dez/19;54.538.137
n1%;n1 - Não Bancário de Crédito;dez/19;12,21%
n2;n2 - Não Bancário de Mercado de Capitais;dez/19;112
n2%;n2 - Não Bancário de Mercado de Capitais;dez/19;0,00%
n4;n4 - Instituições de Pagamento;dez/19;20.051.384
n4%;n4 - Instituições de Pagamento;dez/19;4,49%
1;1 - Público;dez/19;80.164.046
1%;1 - Público;dez/19;17,94%
2;2 - Privado Nacional;dez/19;291.746.608
2%;2 - Privado Nacional;dez/19;65,29%
3;3 - Privado com Controle Estrangeiro;dez/19;74.918.744
3%;3 - Privado com Controle Estrangeiro;dez/19;16,77%
